Team,Color
Alabama,#9e1b32
Arkansas,#9D2235
Auburn,#0C2340
BYU,#002255
California,#041E42
Central Florida,#041E42
Clemson,#F56600
Florida,#0021a5
Florida State,#782F40
Georgia,#DA291C
Georgia Tech,#C59353
Houston,#C92839
Kansas State,#512888
Kentucky,#0033A0
Louisiana Tech,#003087
Louisville,#AD0000
LSU,#AD0000
Massachusetts,#881c1c
Memphis,#0D3182
Miami (FL),#005030
Mississippi (Ole Miss),#7a0019
Mississippi State,#7a0019
Missouri,#000000
North Carolina,#003366
Oklahoma State,#FF7300
Oregon,#154733
Rutgers,#d21034
South Alabama,#00205B
South Carolina,#73000A
Southern  Methodist,#006747
Syracuse,#D44500
TCU,#4d1979
Tennessee,#FF8200
Texas A&M,#500000
Texas Tech,#CC0000
Toledo,#002569
Vanderbilt,#000000
Virginia Tech,#660000
Wake Forest,#000000
Western Kentucky,#B01E24
Wisconsin,#c5050c
